"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryAddHandler.cs", "C#", 23, 4, 10, 37
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryController.cs", "C#", 105, 7, 23, 135
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryItem.cs", "C#", 115, 11, 23, 149
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\InventoryListHandler.cs", "C#", 125, 8, 27, 160
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\Slot.cs", "C#", 369, 21, 72, 462
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\SlotManager.cs", "C#", 267, 20, 51, 338
"c:\Users\adam1\UnityProjects\idk\Assets\Script\Inventory\WeaponSlot.cs", "C#", 658, 30, 130, 818
"Total", "-", 1662, 101, 336, 2099
